Ticket Id,Student or WP,Program Name,Status (Ticket),Created Time (Ticket),Ticket Closed Time,First Response Time,Project Phase,day_of_week,hour,day_number,week_num,month,days_since_last_ticket
6713.0,Working Professionals,Fullstack Program,Closed,2021-05-16 18:43:00,16-05-2021 21:36,16-05-2021 19:25,trial phase,Sunday,18.0,16.0,19,5.0,1906.0
6718.0,Working Professionals,Backend Program,Closed,2021-05-16 18:53:00,16-05-2021 21:33,16-05-2021 21:33,backend-phase1,Sunday,18.0,16.0,19,5.0,1906.0
6688.0,Working Professionals,Fellowship Program,Closed,2021-05-16 15:29:00,17-05-2021 22:34,17-05-2021 00:13,fellowship-phase-1,Sunday,15.0,16.0,19,5.0,1906.0
6724.0,Working Professionals,Backend Program,Closed,2021-05-16 19:29:00,17-05-2021 19:33,18-05-2021 18:19,system-issues,Sunday,19.0,16.0,19,5.0,1906.0
6750.0,Working Professionals,Fullstack Program,Closed,2021-05-16 22:02:00,18-05-2021 19:12,18-05-2021 19:13,fullstack-phase-2,Sunday,22.0,16.0,19,5.0,1906.0
6699.0,Student,Backend Program,Closed,2021-05-16 16:25:00,16-05-2021 21:24,16-05-2021 16:30,backend-phase2,Sunday,16.0,16.0,19,5.0,1906.0
6704.0,Working Professionals,Backend Program,Closed,2021-05-16 17:26:00,16-05-2021 19:18,16-05-2021 19:18,trial phase,Sunday,17.0,16.0,19,5.0,1906.0
6706.0,Working Professionals,Fullstack Program,Deleted,2021-05-16 18:12:00,16-05-2021 18:21,,fullstack-phase-2,Sunday,18.0,16.0,19,5.0,1906.0
6715.0,Working Professionals,Backend Program,Closed,2021-05-16 18:47:00,16-05-2021 21:27,16-05-2021 18:47,backend-phase2,Sunday,18.0,16.0,19,5.0,1906.0
6717.0,Working Professionals,Backend Program,Closed,2021-05-16 18:48:00,16-05-2021 21:34,16-05-2021 21:34,backend-phase1,Sunday,18.0,16.0,19,5.0,1906.0
6728.0,Working Professionals,Backend Program,Duplicate,2021-05-16 19:42:00,16-05-2021 21:18,,backend-phase2,Sunday,19.0,16.0,19,5.0,1906.0
6748.0,Working Professionals,Backend Program,Closed,2021-05-16 20:49:00,21-05-2021 17:44,18-05-2021 18:16,backend-phase-3,Sunday,20.0,16.0,19,5.0,1906.0
6761.0,Working Professionals,Fullstack Program,Closed,2021-05-17 03:27:00,18-05-2021 19:12,18-05-2021 18:19,fullstack-phase-1,Monday,3.0,17.0,20,5.0,1906.0
6716.0,Working Professionals,Backend Program,Closed,2021-05-16 18:47:00,16-05-2021 21:34,16-05-2021 18:47,backend-phase1,Sunday,18.0,16.0,19,5.0,1906.0
6719.0,Working Professionals,Backend Program,Closed,2021-05-16 19:12:00,16-05-2021 21:15,16-05-2021 21:15,backend-phase2,Sunday,19.0,16.0,19,5.0,1906.0
6739.0,Student,Backend Program,Closed,2021-05-16 20:10:00,18-05-2021 21:52,16-05-2021 21:17,backend-phase2,Sunday,20.0,16.0,19,5.0,1906.0
6751.0,Working Professionals,Fullstack Program,Closed,2021-05-16 22:03:00,18-05-2021 11:27,18-05-2021 19:13,fullstack-phase-2,Sunday,22.0,16.0,19,5.0,1906.0
6752.0,Working Professionals,Fullstack Program,Closed,2021-05-16 22:05:00,18-05-2021 11:27,18-05-2021 19:13,fullstack-phase-2,Sunday,22.0,16.0,19,5.0,1906.0
6754.0,Working Professionals,Backend Program,Closed,2021-05-16 22:42:00,18-05-2021 15:17,18-05-2021 18:17,backend-phase2,Sunday,22.0,16.0,19,5.0,1906.0
6723.0,Student,Fellowship Program,Resolved,2021-05-16 19:29:00,16-05-2021 21:32,16-05-2021 19:40,system-issues,Sunday,19.0,16.0,19,5.0,1906.0
6727.0,Student,Fullstack Program,Duplicate,2021-05-16 19:40:00,16-05-2021 20:26,,fullstack-phase-2,Sunday,19.0,16.0,19,5.0,1906.0
6729.0,Working Professionals,Backend Program,Duplicate,2021-05-16 19:42:00,16-05-2021 21:17,16-05-2021 21:17,backend-phase2,Sunday,19.0,16.0,19,5.0,1906.0
6741.0,Working Professionals,Backend Program,Closed,2021-05-16 20:14:00,17-05-2021 22:33,16-05-2021 20:17,backend-phase1,Sunday,20.0,16.0,19,5.0,1906.0
6757.0,Student,Fullstack Program,Closed,2021-05-17 00:26:00,17-05-2021 12:10,17-05-2021 07:55,fullstack-phase-1,Monday,0.0,17.0,20,5.0,1906.0
6732.0,Working Professionals,Fullstack Program,Deleted,2021-05-16 19:44:00,16-05-2021 19:54,,fullstack-phase-1,Sunday,19.0,16.0,19,5.0,1906.0
6744.0,Working Professionals,Backend Program,Closed,2021-05-16 20:31:00,16-05-2021 21:16,16-05-2021 20:34,backend-phase-3,Sunday,20.0,16.0,19,5.0,1906.0
6745.0,Student,Fullstack Program,Closed,2021-05-16 20:38:00,18-05-2021 17:16,18-05-2021 19:24,fullstack-phase-1,Sunday,20.0,16.0,19,5.0,1906.0
6731.0,Working Professionals,Backend Program,Duplicate,2021-05-16 19:42:00,16-05-2021 21:14,,backend-phase2,Sunday,19.0,16.0,19,5.0,1906.0
6736.0,Working Professionals,Fullstack Program,Closed,2021-05-16 19:54:00,17-05-2021 12:07,16-05-2021 21:22,fullstack-phase-2,Sunday,19.0,16.0,19,5.0,1906.0
6738.0,Student,Backend Program,Deleted,2021-05-16 20:06:00,16-05-2021 20:06,,backend-phase2,Sunday,20.0,16.0,19,5.0,1906.0
6743.0,Student,Fullstack Program,Closed,2021-05-16 20:28:00,18-05-2021 19:12,16-05-2021 21:31,fullstack-phase-3,Sunday,20.0,16.0,19,5.0,1906.0
6756.0,Working Professionals,Fullstack Program,Closed,2021-05-16 23:22:00,19-05-2021 10:57,18-05-2021 18:20,fullstack-phase-2,Sunday,23.0,16.0,19,5.0,1906.0
6734.0,Working Professionals,Fullstack Program,Deleted,2021-05-16 19:45:00,16-05-2021 19:54,,fullstack-phase-1,Sunday,19.0,16.0,19,5.0,1906.0
6737.0,Student,Fullstack Program,Closed,2021-05-16 19:58:00,19-05-2021 17:12,16-05-2021 20:16,fullstack-phase-2,Sunday,19.0,16.0,19,5.0,1906.0
6742.0,Working Professionals,Backend Program,Closed,2021-05-16 20:21:00,17-05-2021 12:08,17-05-2021 12:08,backend-phase2,Sunday,20.0,16.0,19,5.0,1906.0
6747.0,Student,Fullstack Program,Closed,2021-05-16 20:42:00,18-05-2021 21:53,16-05-2021 21:12,fullstack-phase-2,Sunday,20.0,16.0,19,5.0,1906.0
6764.0,Working Professionals,Fullstack Program,Closed,2021-05-17 03:42:00,18-05-2021 15:09,18-05-2021 19:15,fullstack-phase-1,Monday,3.0,17.0,20,5.0,1906.0
6770.0,Student,Fullstack Program,Deleted,2021-05-17 09:15:00,17-05-2021 09:16,,fullstack-phase-3,Monday,9.0,17.0,20,5.0,1906.0
