Ticket Id,Status (Ticket),Ticket Closed Time,First Response Time
6977.0,Closed,19-05-2021 17:25,19-05-2021 11:22
6978.0,Closed,20-05-2021 20:57,19-05-2021 10:27
6980.0,Closed,19-05-2021 17:26,19-05-2021 11:46
6994.0,Deleted,19-05-2021 12:17,
6995.0,Closed,19-05-2021 23:05,19-05-2021 19:40
6996.0,Closed,19-05-2021 23:05,19-05-2021 14:16
6997.0,Closed,19-05-2021 17:27,19-05-2021 12:52
7006.0,Closed,19-05-2021 22:12,19-05-2021 14:18
7008.0,Deleted,19-05-2021 22:13,
7017.0,Duplicate,19-05-2021 22:14,
7030.0,Closed,19-05-2021 20:39,19-05-2021 20:36
7032.0,Closed,19-05-2021 17:30,19-05-2021 17:20
7036.0,Deleted,19-05-2021 22:15,
7038.0,Deleted,19-05-2021 18:07,
7044.0,Duplicate,19-05-2021 22:15,
7051.0,Closed,21-05-2021 11:54,19-05-2021 20:11
7052.0,Closed,20-05-2021 13:19,20-05-2021 13:09
7068.0,Deleted,19-05-2021 22:19,
7069.0,Closed,20-05-2021 11:52,19-05-2021 22:43
7073.0,Duplicate,20-05-2021 13:19,20-05-2021 11:49
7095.0,Duplicate,20-05-2021 12:32,20-05-2021 14:25
7096.0,Closed,21-05-2021 16:57,20-05-2021 11:52
7121.0,Closed,21-05-2021 17:54,20-05-2021 15:29
7122.0,Duplicate,20-05-2021 15:29,
7128.0,Closed,20-05-2021 15:30,20-05-2021 15:19
7129.0,Deleted,20-05-2021 15:27,
7136.0,Closed,20-05-2021 17:40,20-05-2021 17:05
7149.0,Waiting for mentor response,-,20-05-2021 20:09
7163.0,Closed,22-05-2021 09:11,20-05-2021 21:49
7164.0,Duplicate,20-05-2021 22:46,
7165.0,Duplicate,21-05-2021 22:35,20-05-2021 22:41
7173.0,Deleted,20-05-2021 23:26,
7175.0,Deleted,20-05-2021 23:30,
6423.0,Closed,14-05-2021 20:39,14-05-2021 12:21
6489.0,Closed,17-05-2021 22:19,16-05-2021 12:08
6568.0,Deleted,15-05-2021 15:04,
6575.0,Closed,18-05-2021 19:14,18-05-2021 19:11
6688.0,Closed,17-05-2021 22:34,17-05-2021 00:13
6691.0,Closed,18-05-2021 11:24,18-05-2021 19:13
6755.0,Closed,18-05-2021 22:54,16-05-2021 23:28
6774.0,Resolved,18-05-2021 22:00,17-05-2021 11:19
6777.0,Duplicate,18-05-2021 21:52,18-05-2021 18:19
6782.0,Duplicate,18-05-2021 19:06,
6783.0,Closed,18-05-2021 21:00,18-05-2021 18:19
6784.0,Duplicate,18-05-2021 11:33,
6785.0,Duplicate,18-05-2021 11:33,18-05-2021 18:19
6789.0,Closed,17-05-2021 19:32,17-05-2021 12:44
6832.0,Closed,20-05-2021 14:47,18-05-2021 19:25
